branding, product_name, previous_price, shipping_details, product_rating_out_of_five
ASUS,ASUS ZenBook UX533 Ultra Slim Compact Laptop 15.6" FHD 4-Way NanoEdge Intel Core i7-8565U 16GB DDR4 1TB PCIe SSD GeForce GTX 1050 IR Camera TPM Windows 10 Pro Icicle Silver UX533FD-NS76 Newe,1499.99,$1,299.99 (3 Offers),Free Shipping,4
Acer America,Acer Aspire 3 15.6" - AMD Ryzen 7 2700U Quad-core (4 Core) 2.20 GHz - 8 GB DDR4 SDRAM - 256 GB SSD - Windows 10 Home 64-bit - 1920 x 1080 - A315-41-R14K - NX.GY9AA.014 - Obsidian Black,729.99,$626.99 ,Free Shipping,3
Lenovo,Lenovo Laptop IdeaPad L340 81LG0011US Intel Core i5 8th Gen 8265U (1.60 GHz) 8 GB Memory 256 GB SSD Intel UHD Graphics 620 15.6" Windows 10 Home 64-bit,699.99,$499.99 (2 Offers),Free Shipping,3
Lenovo,Lenovo Laptop IdeaPad L340 81LW000DUS AMD Ryzen 5 2nd Gen 3500U (2.10 GHz) 8 GB Memory 256 GB SSD AMD Radeon Vega 8 15.6" Windows 10 Home 64-bit - OEM,599.99,$469.99 ,$0.99 Shipping,3
Lenovo,Lenovo Laptop IdeaPad 330 81D2005CUS AMD Ryzen 5 1st Gen 2500U (2.00 GHz) 8 GB Memory 256 GB SSD AMD Radeon Vega 8 15.6" Windows 10 Home 64-Bit,679.99,$449.99 (4 Offers),Free Shipping,4
